 1.0000000000000000e+00   1.0000000000000000e-03   3.3333333333333335e-05   3.3333333333333334e-08  ! rhol, rhog, mul, mug
 6.6666666666666670e-05   6.6666666666666670e-05   9.2222222222222233e-02   4.7619047619047619e-04  ! f1, f2, g, sigma
 1.0000000000000000e+00  ! alpha
 7.5891076682694115e-03  -1.7775182167573941e-01  ! gamma
-4.6110198442996386e-01   8.8734714737511233e-01  ! a
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U1 = 1.0 + A*y + B*y^2
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U2 = 1.0 + A*y + B*y^2
-5.0627335657082949e-11   9.9661501273828799e-11   0.0000000000000000e+00   0.0000000000000000e+00
-9.8579736869398971e-02  -5.5970622232217759e-01  -1.8711762807764843e-03   4.2835365105276977e-04
 1.2438229743719452e-01  -1.3010344413540067e+00  -1.5609104807891223e-02   6.4477556085507819e-04
 5.7330149232553995e-01  -1.6048959776073350e+00  -4.4242531189879662e-02  -6.2073544625890599e-03
 8.5410694085877115e-01  -1.6058572772067756e+00  -7.8064992821926693e-02  -2.1563930975010075e-02
 9.3542185285611856e-01  -1.5680540392442261e+00  -1.0839750042636433e-01  -3.8881703076555967e-02
 9.2710297828183130e-01  -1.5447921895190335e+00  -1.3018929345472918e-01  -5.1971924268155771e-02
 9.1097960161671476e-01  -1.5334914375599313e+00  -1.4006044669685361e-01  -5.7868936850944172e-02
 9.1097960161671476e-01  -1.5334914375599313e+00  -1.4006044669685361e-01  -5.7868936850944172e-02
 8.8977920176840020e-01  -1.5205928438597460e+00  -1.4985439906141521e-01  -6.3645289459277166e-02
 8.3422643088313764e-01  -1.4844048256655460e+00  -1.7090624860251494e-01  -7.5723677270671252e-02
 7.5933667415589567e-01  -1.4176793865186743e+00  -1.9867604815107981e-01  -9.0938420859450281e-02
 6.9836437269447893e-01  -1.3357100541160920e+00  -2.2748930179711810e-01  -1.0614942807192915e-01
 6.6126567685434567e-01  -1.2670691413691806e+00  -2.5235587735356885e-01  -1.1912615429544333e-01
 6.4025203837997358e-01  -1.2234338509884934e+00  -2.6978556780195412e-01  -1.2823434870511236e-01
 6.3145256409990780e-01  -1.2051202996686508e+00  -2.7757222088044198e-01  -1.3231187807962044e-01
 6.3145256409990647e-01  -1.2051202996686485e+00  -2.7757222088044159e-01  -1.3231187807962061e-01
 6.2294145829203673e-01  -1.1876633109376229e+00  -2.8524425353513944e-01  -1.3633396226965791e-01
 6.0499329580428285e-01  -1.1518721322148764e+00  -3.0162008471510865e-01  -1.4492988137344898e-01
 5.8156899697840692e-01  -1.1066199191814412e+00  -3.2320585478315139e-01  -1.5627146614250798e-01
 5.5741638841001850e-01  -1.0604593101902968e+00  -3.4587884595991036e-01  -1.6818813465486526e-01
 5.3667511312993543e-01  -1.0207913473868844e+00  -3.6577214476099862e-01  -1.7864579978074624e-01
 5.2218176502922364e-01  -9.9305655805699078e-01  -3.7986988227849067e-01  -1.8605822329980154e-01
 5.1571781114414905e-01  -9.8068813956216605e-01  -3.8619858011526048e-01  -1.8938618883260769e-01
 5.1571781114414905e-01  -9.8068813956216605e-01  -3.8619858011526048e-01  -1.8938618883260769e-01
 5.0935528034529809e-01  -9.6851544125633138e-01  -3.9244859212268368e-01  -1.9267302905157555e-01
 4.9579297456740196e-01  -9.4257399849701529e-01  -4.0582714237529943e-01  -1.9970956059522457e-01
 4.7794018596789489e-01  -9.0843582041565840e-01  -4.2352059923182594e-01  -2.0901730902326379e-01
 4.5918440648288061e-01  -8.7258087670891349e-01  -4.4215627195967722e-01  -2.1882293162654440e-01
 4.4268979317537682e-01  -8.4105710584932081e-01  -4.5853692566891402e-01  -2.2744395330086653e-01
 4.3096063531735540e-01  -8.1864616796491940e-01  -4.7015587169579121e-01  -2.3356004957736573e-01
 4.2568080890081761e-01  -8.0855951408685944e-01  -4.7537344273871363e-01  -2.3630683713341252e-01
 4.2568080890081833e-01  -8.0855951408686100e-01  -4.7537344273871496e-01  -2.3630683713341291e-01
 4.2045632887663265e-01  -7.9857956296606569e-01  -4.8052667209798522e-01  -2.3901994361609427e-01
 4.0923340089320792e-01  -7.7714457559085337e-01  -4.9155775936532653e-01  -2.4482831241088188e-01
 3.9429139637630101e-01  -7.4861390140829898e-01  -5.0614273619862382e-01  -2.5250934957884907e-01
 3.7840200382390049e-01  -7.1828418516615622e-01  -5.2149219478540043e-01  -2.6059474158584778e-01
 3.6427767399774863e-01  -6.9133268189119745e-01  -5.3496706594671273e-01  -2.6769420799126237e-01
 3.5415342222057999e-01  -6.7201943052170110e-01  -5.4451148977472519e-01  -2.7272373498300756e-01
 3.4957503974357801e-01  -6.6328713850991028e-01  -5.4879310818140292e-01  -2.7498021847623422e-01
 3.4957503974357823e-01  -6.6328713850991050e-01  -5.4879310818140348e-01  -2.7498021847623449e-01
 3.4503213186894360e-01  -6.5462346488514445e-01  -5.5301894744172775e-01  -2.7720745508183797e-01
 3.3523213905732518e-01  -6.3593741851770413e-01  -5.6205380148999251e-01  -2.8196979779020787e-01
 3.2209991608241662e-01  -6.1090483849669586e-01  -5.7397278132108187e-01  -2.8825346268630059e-01
 3.0803254056422830e-01  -5.8409894180455924e-01  -5.8647740397555537e-01  -2.9484723455485828e-01
